incident_description,offense_type
My opponent attacked me with a wooden plank during a land dispute,Assault
An angry group blocked the road and attacked passing vehicles,Rioting
Two men on a motorbike snatched my chain while threatening me,Robbery
Rioters set fire to shops in the market area during a protest,Rioting
A police officer refused to register my FIR unless I paid him money,Corruption
A person held a knife to my throat and took my purse,Robbery
Someone keeps calling and texting me despite my repeated requests to stop,Stalking
I was stabbed in the arm during a street fight,Assault
A government official demanded a bribe to process my building permit,Corruption
An insurance agent mis-sold a policy and pocketed the premium,Fraud
People broke into the school premises at night and vandalised it,Trespass
Fake reviews are being posted to destroy my business reputation online,Cybercrime
A person broke into my car and stole my laptop bag,Theft
I was held captive in a room for three days and not allowed to leave,Kidnapping
Someone broke the lock of my house and entered without permission,Trespass
My neighbour stalked and assaulted me on my way to work,Sexual Assault
Someone hacked my company's database and stole customer data,Cybercrime
My spouse controls all my finances and does not allow me to work,Domestic Violence
A man was shot dead outside the restaurant in our locality,Murder
The electric meter was stolen from our colony,Theft
I was sold an adulterated product at full price,Fraud
My husband consumes alcohol daily and physically abuses me and our children,Domestic Violence
A politically motivated group attacked our party workers,Rioting
A competitor is running a campaign with false claims to damage my business,Defamation
A youth was shot dead during a political rally,Murder
A man sends repeated gifts and messages despite being told to stop,Stalking
Armed men entered my shop and took all the cash at gunpoint,Robbery
A man punched me repeatedly at the market after an argument,Assault
My brother was stabbed to death in a fight last night,Murder
The victim was pushed from the terrace and died,Murder
I was blackmailed after a video call where my screen was recorded secretly,Cybercrime
Someone stole my bicycle from outside my house,Theft
A group of people forcibly occupied my agricultural land,Trespass
A person attacked me with a rod outside my workplace,Assault
Someone impersonated a government official and collected money from me,Fraud
A drunk person attacked me on the road with a broken bottle,Assault
An influential person is forcing me to sell my land at a low price under threat,Extortion
A violent crowd stormed our village and damaged property and injured people,Rioting
A man was run over deliberately by a vehicle and died on the spot,Murder
My domestic worker was forced to work without being allowed to leave,Kidnapping
Someone posted a fabricated article claiming I committed fraud,Defamation
My sister died under suspicious circumstances after continuous harassment for dowry,Dowry Death
A travel agent took payment for a tour package and never provided services,Fraud
My mobile phone was snatched from my hand while I was walking,Theft
My in-laws threw me out of the house in the middle of the night,Domestic Violence
"I received a phishing email and entered my OTP, after which my account was drained",Cybercrime
Someone threw a stone that hit my head and caused bleeding,Assault
A man followed me into the lift and touched me inappropriately,Sexual Assault
My credit card was stolen and used for purchases,Theft
A newspaper published a false report about my conduct without verification,Defamation
An armed gang robbed the petrol station I manage,Robbery
The body of a woman was found with burn injuries near the railway track,Murder
I was photographed without consent in the changing room,Sexual Assault
A man is threatening to share my private photos unless I pay him money,Extortion
A man exposed himself in front of me at the bus stop,Sexual Assault
